,Season,Competition,Club,Against,Date,Minute,Goalkeeper,Success?,Score at this moment,Final result,Foot,Area
54,16/17,LaLiga,Real Madrid,Villarreal CF,2017-02-26,74,Andrés Fernández,1,2:2,3:2,r,1
55,16/17,LaLiga,Real Madrid,Sevilla FC,2017-01-15,67,Sergio Rico,1,1:0,1:2,r,5
56,16/17,FIFA Club World Cup,Real Madrid,Kashima Antlers,2016-12-18,60,Hitoshi Sogahata,1,2:2,4:2,r,1
57,16/17,LaLiga,Real Madrid,Sporting Gijón,2016-11-26,5,Diego Mariño,1,1:0,2:1,r,5
58,16/17,LaLiga,Real Madrid,Atlético de Madrid,2016-11-19,71,Jan Oblak,1,2:0,3:0,r,1
59,16/17,World Cup qualification Europe,Portugal,Latvia,2016-11-13,59,Andris Vanins,0,1:0,4:1,r,1
60,16/17,World Cup qualification Europe,Portugal,Latvia,2016-11-13,28,Andris Vanins,1,1:0,4:1,r,1
61,16/17,LaLiga,Real Madrid,Deportivo Alavés,2016-10-29,17,Fernando Pacheco,1,1:1,4:1,r,5
62,16/17,LaLiga,Real Madrid,Deportivo Alavés,2016-10-29,79,Fernando Pacheco,0,2:1,4:1,r,5
63,15/16,EURO 2016,Portugal,Austria,2016-06-18,79,Robert Almer,0,0:0,0:0,r,1
64,15/16,International Friendlies,Portugal,Bulgaria,2016-03-25,67,Vladislav Stoyanov,0,0:1,0:1,r,1
65,15/16,LaLiga,Real Madrid,Sevilla FC,2016-03-20,58,Sergio Rico,0,1:0,4:0,r,4
66,15/16,LaLiga,Real Madrid,Levante UD,2016-03-02,34,Diego Mariño,1,1:0,3:1,r,1
67,15/16,LaLiga,Real Madrid,Málaga CF,2016-02-21,36,Carlos Kameni,0,1:0,1:1,r,5
68,15/16,LaLiga,Real Madrid,RCD Espanyol Barcelona,2016-01-31,12,Giedrius Arlauskis,1,2:0,6:0,r,1
69,15/16,LaLiga,Real Madrid,Real Sociedad,2015-12-30,42,Gerónimo Rulli,1,1:0,3:1,r,5
70,15/16,LaLiga,Real Madrid,Real Sociedad,2015-12-30,24,Gerónimo Rulli,0,0:0,3:1,r,4
71,15/16,LaLiga,Real Madrid,Rayo Vallecano,2015-12-20,30,Yoel Rodríguez,1,3:2,10:2,r,1
72,15/16,LaLiga,Real Madrid,SD Eibar,2015-11-29,82,Asier Riesgo,1,2:0,2:0,r,3
73,15/16,UEFA Champions League,Real Madrid,Shakhtar Donetsk,2015-09-15,64,Andriy Pyatov,1,3:0,4:0,r,1
74,15/16,UEFA Champions League,Real Madrid,Shakhtar Donetsk,2015-09-15,56,Andriy Pyatov,1,2:0,4:0,r,1
75,15/16,LaLiga,Real Madrid,RCD Espanyol Barcelona,2015-09-12,17,Pau López,1,2:0,6:0,r,5
76,14/15,European Qualifiers,Portugal,Armenia,2015-06-13,29,Roman Berezovskiy,1,1:1,3:2,r,5
77,14/15,LaLiga,Real Madrid,Getafe CF,2015-05-23,34,Jordi Codina,1,3:2,7:3,r,4
78,14/15,UEFA Champions League,Real Madrid,Juventus FC,2015-05-13,23,Gianluigi Buffon,1,1:0,1:1,r,4
79,14/15,LaLiga,Real Madrid,Valencia CF,2015-05-09,45,Diego Alves,0,0:2,2:2,r,1
80,14/15,LaLiga,Real Madrid,Málaga CF,2015-04-18,67,Carlos Kameni,0,1:0,3:1,r,1
81,14/15,LaLiga,Real Madrid,Villarreal CF,2015-03-01,52,Sergio Asenjo,1,1:0,1:1,r,6
82,14/15,LaLiga,Real Madrid,Valencia CF,2015-01-04,14,Diego Alves,1,1:0,1:2,r,1
83,14/15,UEFA Champions League,Real Madrid,PFC Ludogorets Razgrad,2014-12-09,20,Vladislav Stoyanov,1,1:0,4:0,r,4
84,14/15,LaLiga,Real Madrid,Celta de Vigo,2014-12-06,36,Sergio Álvarez,1,1:0,3:0,r,5
85,14/15,LaLiga,Real Madrid,SD Eibar,2014-11-22,83,Xabi Irureta,1,4:0,4:0,r,1
86,14/15,LaLiga,Real Madrid,FC Barcelona,2014-10-25,35,Claudio Bravo,1,1:1,3:1,r,5
87,14/15,LaLiga,Real Madrid,Levante UD,2014-10-18,13,Diego Mariño,1,1:0,5:0,r,6
88,14/15,UEFA Champions League,Real Madrid,PFC Ludogorets Razgrad,2014-10-01,10,Vladislav Stoyanov,0,0:1,2:1,r,1
89,14/15,UEFA Champions League,Real Madrid,PFC Ludogorets Razgrad,2014-10-01,25,Vladislav Stoyanov,1,1:1,2:1,r,1
90,14/15,LaLiga,Real Madrid,Elche CF,2014-09-23,28,Manu Herrera,1,2:1,5:1,r,6
